address,to,latest_delegate
0xc6e5c042b34a0b88df9d4fa00849ba8ecfad1894,0xb0ce77b18b8663baa0d6be63b7c5ee0bdf933001,2024-03-28 04:45:23.000 UTC
0x094777753dcbe1209b8d480a3f103870fd70cf08,0x2fac3ebf0ab281ff344f9e5fcc4f837fc21d92c4,2023-12-23 16:47:59.000 UTC
0x70a944416657495097cd2ba868a72c43d17fbc5b,0x75a7706c8ee7799152f82b249f53f57224cbc010,2024-04-11 18:35:11.000 UTC
0x68b53aa18d1b8437b7cd9524040c776e2261e06d,0x27fade570a04536c1c33bc2442ff49b7331ff375,2024-02-15 02:59:23.000 UTC
0x828ef26d34c64a6210ed38b8807805312fc8c9fd,0xa7c48aaf89e15d3e5011c6dd05e00c76ea075e13,2024-04-18 21:36:35.000 UTC
0x98b69d0b81fb1966ebe0af76789425706e5afe7b,0x8dea4affd3a5b3f844d1732f46cdca80d0ecfaae,2024-01-19 03:08:11.000 UTC
0x127e36c12b7a68a685fec27f752d82b4171e57ae,0x7702135b90da5832430e1761ed2e84ad724b7332,2024-04-22 08:17:47.000 UTC
0x0aebaf5e3d4207d71474cfa3f654ec0743183619,0x86d504caf04ccec4929fd7ac9164af350ef4b29b,2024-03-28 16:40:59.000 UTC
0x7fc2f9860457475491d8c3f5703f2f65f2b63ee0,0x016fa6359ebf7518581c03d09f6fcc14a1dc2da6,2024-02-07 08:59:35.000 UTC
0x9cf5dec27768855d478152128851ebde74f6a3ed,0x8f23679194089b69d45d167f4c99feb2fa0d9fce,2024-07-19 02:28:59.000 UTC
0x9f9ebce72c0715cdbad4d589986eb22f6782a1ce,0xcc0832b00b17f4c60a7671c3f00306fdb3462f13,2023-11-17 08:40:59.000 UTC
0x68f545ba4d8915d2a8bcfb8128f5b0e356a9a6b2,0xe786435f881a0145c8e4ac3989bff58d39e19338,2024-03-22 13:34:23.000 UTC
0x184e61d0fa5f05a22867bb3ec416b056db16490c,0xa80eadf94b6fb66aa592ee63e5ee4336e1ba0d26,2023-10-23 15:47:11.000 UTC
0x6f69f79cea418024b9e0acfd18bd8de26f9bbe39,0xfbc97ddc6824d03c8d94338918867d76954f6bf3,2024-01-18 22:55:23.000 UTC
0x09bb5ee4c5f5d1d5d958271361a075548e293809,0xca59fa7a862118398d3cb5e69bfa7aa6a3f0d2bb,2024-09-07 23:42:47.000 UTC
0xc6e50f2443d6c1e627de9364cf1e3b97586038f4,0x028fb20d5467556e9ad70f3e629bd125cc462179,2024-02-21 03:18:59.000 UTC
0x5ea12341d073ec5a1226b85f0478413a19081535,0x167b3ce093c21c1907c0151ef3fe80c8e6ad8ecc,2024-06-04 12:33:23.000 UTC
0x6d4fb10bb34a2ed1db0f208349a906edd2567d45,0x1808cbff61bd94a1fc3f20378d471780517d0af5,2024-03-28 06:52:59.000 UTC
0xa9d2bcf3acb743340cdb1d858e529a23cef37838,0x0578944c0cf5f70f360b8b6c5527669f7b804547,2024-05-30 21:28:47.000 UTC
0x1506bf1b4979b3cc94c979878e6661a31af004b3,0x4d661e1c62dff71cff7e6e5072b690a70ab1281b,2024-04-14 13:37:23.000 UTC
0xa5eec8e3b2719d34412997d5771170cba6d63371,0x85c12374939f4d58920543a70a377695cd6c5005,2023-10-13 21:40:11.000 UTC
0xd0d9e3505349bc945a414a6ec8ff8bcadabf20e3,0xbf83ce96835bb66eb074ad0ec470dad133448581,2024-08-13 00:33:35.000 UTC
0x76ceb0f9dae2cd5ecaf07d977aefaa82d3d2d082,0x5cd70c2638f5dbc8f90cf3e85c5f57d3cbecb454,2024-03-26 02:11:59.000 UTC
0xce73e27b02a05acbe49d42d099a72f58c06df057,0xce866203bb090d98d170f59bf8986d849677192b,2024-03-28 08:21:11.000 UTC
0xdf5416a43ee3ed5fb34503778a9b4d6dfb2f2449,0x2cd4406ec74ae77bdf64c6a6fa438124baa64a07,2024-04-04 10:27:59.000 UTC
0x9c786733e9af618b459250831833ede285f56301,0x0a34e12eedd4df51f8ac69adc9f4a806f96ed944,2023-10-13 21:24:11.000 UTC
0x3fc232c07dcf2759af9270f0a7d3856b9e8cccba,0x1a663e197092c79ba7a4ed63eb6f17ae9963ed47,2024-08-31 05:47:47.000 UTC
0x7d112a6724dfe4506a3bbfa29ded117bf8d332a4,0x0d7b38ae4f10859bcfdec42d46815974a982d6ab,2024-09-23 01:16:35.000 UTC
0x330ee904ab479f36fbdcad0dc821d43fe443d433,0x2976b437f645cc681bab3e3261a4ca5f03db5884,2024-08-23 16:22:35.000 UTC
0xaba1cebe38e6cb5945140e5fd2a7da6c39ba4dcc,0x8f0ec368beeb5c5065f50dbf0697a03849927a44,2024-07-23 12:17:11.000 UTC
0x6ec2bdcbc5804a4fbdfa578e46918cd0040db843,0xf37d4d50b859bff99b60a4a1c17f6cb7a2d4908a,2024-03-21 05:18:35.000 UTC
0xa779fc675db318dab004ab8d538cb320d0013f42,0x3ddb180d96c98e77a8f20ac456b6764b4d478a8a,2024-01-24 19:41:47.000 UTC
0x0101eaee8d0013234c32936963ff504a9954220b,0xe74acf3b57d092db0e2f71f0435bab6ed95c3a72,2024-02-16 03:51:35.000 UTC
0x78569a10ec9663fd7a8a7982816cd80bcc2d9749,0xbd484ee98afaefe5945e652bf85b29876de5d3a6,2024-06-05 17:43:59.000 UTC
0xc2e257476822377dfb549f001b4cb00103345e66,0xa8a7e295c19b7d9239a992b8d9c053917b8841c6,2024-09-17 13:49:35.000 UTC
0x3796bf467561b61a21e0b523894e44b8ae5c6516,0x6532cf11b3ca3bea04c5843512a145e464a15192,2024-03-06 06:18:59.000 UTC
0x2bbccefba0930e9cf2bbdb0b8bf72718cf1a516f,0x9a07bf0a1066ef6cb57d5e12e2d808c58574c44a,2024-03-06 20:18:23.000 UTC
0x5ab124f18056113d0884251d45544e2188af5fae,0x42154d141798e6cc2bb084221be97da77ef699b9,2023-10-26 06:14:23.000 UTC
